_id	type	title	body	url	date	policies
29	clip	Proper use of funds from grants to Preserve Our Paradise	She [Trustee Annika Holtan] also reiterated that It is important to remember that “cash” in the context of the Preserve our Paradise campaign – namely funds that are received in the form of grants from the Stark Mountain Foundation – can only be used for capital improvements and campaign related expenses, not for general operating needs of the Co-op.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-september-10-2016/	September 10, 2016	
30	motion (approved)	Executive search	1. Motion     1. The Board of Trustees is responsible for oversight, engagement and hiring of Cooperative management, per Article § 4.1;     2. The position of General Manager is vacant and needs to be filled;     3. The Board wishes to conduct a comprehensive search to find candidates to best meet the Cooperatives present and future needs; and     4. The General Manager job description may have to be amended to best meet the Cooperative’s present and future needs,     5. Therefore, the MRG Board of Trustees authorizes the formation of this Search Committee with the stated mission to:     6. Draft a job description and title for the Board’s approval;     7. Conduct a diligent, nation-wide search for potential candidates;     8. Recommend a salary range and structure to the Board;     9. Review resumes and CVs;     10. Establish committee(s) for and conduct initial candidate interviews;     11. Actively engage with shareholders, employees and other stakeholders during the process     12. Recommend candidates for interview(s) and selection by the Board;     13. Keep the Board informed and make regular reports at Board meetings; and     14. Work in a timely and diligent manner.     15. The Committee shall be chaired by President Meg Hourihan and consist of Trustees Deb Steines, and Ron Shems, and past-President John Stetson. The Search Committee shall include staff and other Owners in its work.     16. The Executive Search Committee shall cease when the Board hires for the vacant General Manager position, or when the Board disbands the Committee.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-october-1-2016/	October 1, 2016	
31	decision	Letters sent to Trustees from Shareholders	Deri Meier asked the Board about procedures to acknowledge letters sent to the trustees. Question was asked about whether those letters should be included in the minutes. The Trustees determined that the letter in question should not be included in minutes because it is an employment reference. In general, the board will acknowledge receipt of letters from shareholders and members of the MRG community. Unless specifically requested at a board meeting, the Trustees will not consider whether to have a letter become a part of the official minutes.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-12-2016/	November 12, 2016	
32	decision	Board Chair Conflicts	Meg moved to appoint Alan Bates as committee chair. Second by Eric P. Approved unanimously. Two in-state and one out-of-state trustee positions need to be filled. Jon Anderson (in-state) is term-limited. John Tobin (out-of-state) and Alan Bates (in-state) plan to run again. John Stetson pointed out that since Alan would be up for re-election in 2017 that it would be a conflict for him to manage that committee. All agreed and Alan resigned after his successful and momentary tenure.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-12-2016/	November 12, 2016	
33	policy	Treasury Stock Conversion Policy	The policy regarding delinquent payments of the annual APR by some shareholders needed to be clairified. The new policy is attached. (Attachment missing.)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-12-2016/	November 12, 2016	
34	precedent	Trustee Compensation	1. Deri Meier – asked about the interim manager’s contract and whether that sets a precedent. 2. John Stetson – stated that the interim general contract was needed and that the Board and Interim General Manager had been doing a great job seeing the Coop through a difficult time. 3. Bill Coyle– Trustees should not be compensated and expressed concern that this creates conflicts of interest and violates bylaws. 4. Ron Shems – stated that the contract is explicitly for management services and not for any trustee duties. It is common for organizations such as the Coop to appoint a board member as interim GM. To expect someone to volunteer 20 to 50 hours a week for more than 5 months, in addition to Board duties, is unrealistic. The Board’s obligation to assure the Coop’s sound management requires professional management.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-january-14-2017/	January 14, 2017	
35	clip	Trustee Compensation	Deri wants to amend his shareholder comment in the January 14 draft minutes as follows: Deri Meier – asked about the compensation for interim manager’s contract and whether that sets a precedent. The Board President said that was confidential. Meier then responded that he had been told by Trustee Shems, $50/hour for approximately 20 hours/week through January, 2017, but extendable.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-11-2017/	February 11, 2017	34
36	motion (approved)	Monthly meeting schedule	1. Presently, the Board meets on the 2nd Sat. of each month and the Finance Committee meets the Thursday before. This leaves little time for staff to prepare financials. Also, many payables come later in the month afterward after the meetings, so the information is incomplete and not as accurate as could be. John T suggests that we move FC meeting one week later, which means that the Board meeting should also be moved. We would be one month behind, but FC meetings would see more timely numbers. 2. Specifically, the proposal is to move meetings to:FC: 3rd Thursday of month, (Thurs prior to Board mtg)Board: 3rd Saturday of the month, New schedule to start in May, after the April Annual meeting.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-11-2017/	February 11, 2017	
37	motion (approved)	Election procedures	Motion     1. On-line instead of mailing in subsequent years     2. Mailing would be limited to ballot and envelope     3. Timing shifted Candidates declare by Jan 15. Instead of Feb 1. Makes it smoother.     4. Board would approve the slate at the January meeting     5. Bios can be mailed on request or picked up in the office	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-march-11-2017/	March 11, 2017	
38	clip	Board understanding of the by-laws	Annika stressed the need for the board to understand the by-laws as well as reviewing them. She also stressed the need to review all our policies, especially the Forestry plan.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-may-20-2017/	May 20, 2017	
39	motion (approved)	Appeal denial of tax refund	Motion     1. Having decided to hold a special meeting on November 18, 2017 at 8:30, the Board discussed whether to appeal the decision of the Fayston Board of Abatement denying the Cooperative’s petition to refund statewide property tax overpayments.     2. Meg Hourihan moved that the Board not appeal the decision based on discussions with counsel and the costs of the appeal.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-11-2017/	November 11, 2017	
40	motion (approved)	Share redemption	Motion. Matt Kenny moved that the Board authorize redemption of 30 tendered shares at the book value established by the audit. Meg Schultz seconded. Matt Lillard said that there is sufficient capital funds allowing the redemption.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-december-16-2017/	December 16, 2017	
41	motion (approved)	Board Roles and Responsibilities	Board roles and responsibilities (not attached to minutes)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-17-2018/	February 17, 2018	
42	policy	Ethics Policy	Ethics policy (not attached to minutes)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-17-2018/	February 17, 2018	
43	motion (approved)	By-law revision	By Law revisions (not attached to minutes)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-17-2018/	February 17, 2018	
44	policy	General Manager (GM) Performance Appraisal Policy	GM Performance Appraisal Policy (not attached to minutes)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-march-17-2018/	March 17, 2018	
45	motion (approved)	Board Development and Governance Mission	The Board Development and Governance Committee (the Committee) has three main roles: 1. The Committee is charged with the proper conduct and management of Trustee Elections and Shareholder Votes.  2. The Committee will ensure that each Trustee, once elected, is equipped with the tools, expectations, and support to successfully discharge their responsibilities. 3. The Committee will ensure the proper functioning of the Board.	https://www.madriverglen.com/wp-content/uploads/2018/11/Mission-Statement-for-the-Board-Development-Governance-Committee.pdf	November 17, 2018	
46	motion (approved)	Facilities Committee Mission	The Board of Trustees approves the revision of the Facilities Committee’s Mission Statement as the following: 1) Architectural Vision and Advice: The Committee, in conjunction with the Management, will undertake specific assignments from the Board to develop a consensus for architectural vision to govern specific construction projects, establish building design criteria, conduct design reviews, make recommendations and/or establish an approvals process. 2) Facilities Improvements and Tactical Planning: The Committee, in conjunction with the Management, will make recommendations on needed and/or required improvements, maintenance and general upkeep of the facilities.	https://www.madriverglen.com/wp-content/uploads/2018/11/Facilities-Committee-Mission-Statement.pdf	November 17, 2018	
47	motion (approved)	Facilities Committee Recommendation for the Patrol Building	The FacCom recommends that: 1. Professional services be retained to: a) Develop a program statement based on the revised requirements for approval by the FacCom; b) Prepare an assessment of the existing PB for renovation and reuse, including impact of all relevant land use requirements and building codes;  2 c) Prepare up to three conceptual designs to accommodate the approved program; d) Prepare construction cost estimates representing each of the conceptual designs; e) Prepare a likely timeline to execute each of the conceptual designs; and, f) Present the designs, estimates and timelines to the BOT for approval. 	https://www.madriverglen.com/wp-content/uploads/2018/11/patrol-building-recommendation-11.15.18.pdf	November 17, 2018	
48	policy	Memorial Policy	(Memorial Policy not attached to minutes.)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-november-17-2018/	November 17, 2018	
49	clip	Directors and Officers (D&O) Insurance	Matt is looking at Coop expenses across the board and is in the process of reviewing and updating Directors & Officer’s insurance (D&O). Several years ago the Board approved a more expensive policy due to concerns about risk to the mountain and to the Directors. Matt questions whether this level of coverage is still necessary, since MRG’s premium is higher than normal. Matt reviewed other ways the mountain is protected including employee training, VSAA coverage, various state inspections, and MRG’s exemplary safety record. The Board felt it needs more time and information, and would like to see completion of Employee Handbook of policies, before revising the policy. Thus for the time being MRG should continue with current D&O policy.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-december-15-2018/	December 15, 2018	22
50	motion (approved)	Betsy Pratt Memorial	In accordance with the Memorial Policy, Matt L. recommended that the board approve the Homeowner’s application (attached) to install, at their expense and subject to the approval of the Pratt family, a sign dedicated to Betsy Pratt opposite the Roland Palmedo sign at the BaseBox entry.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-january-19-2019/	January 19, 2019	48
51	policy	Capital Expense Approval Policy	(Capital expense approval policy not attached to minutes.)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-january-19-2019/	January 19, 2019	
52	motion (approved)	Capital Expense Improvement Plan	1. Matt L. presented his proposed Capital Improvement Plan for FY 2019 in the amount of $264,527 (see attached). The plan included 8 line items below $50,000 related to snowmaking; Birdcage improvements; roads, trails, and culverts; and Lift 4 painting as well as a Snowmaking proposal that exceeded $50,000. Matt L. expects that grants from the Campaign will fund all projects. 2. The latter proposal related to the extension of snowmaking to the 2,300 foot elevation under the Double Chair, up to Tower 6 of the Single on Bunny, Rockefellers, up to the top of the Practice Slope and to the top of Eaton’s Run, and from Tower 2 of the double the bottom of Eaton’s run. This $76,250 proposal was for material only with installation done by staff. The additional snowmaking coverage restores the system to its historical level and effectively completes the snowmaking capital plan, with the exception of normal replacement of items. It is not anticipated that the additional snowmaking coverage will increase operating expenses as the additional electrical usage will be more than offset by lower rates and the crew will not have to relocate equipment or snow as frequently as in the past.     1. (Policy not attached.)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-january-19-2019/	January 19, 2019	51
53	decision	Trustee Appointments	Ron met with Deri Meier about his proposed amendment to the bylaws that would require that a Trustee who is appointed to fill a vacancy run in the next election, rather than serve the remaining term of the vacant seat. There was discussion of “better democracy” versus a deterrent to fill vacant seats. The Trustees found no compelling reason to recommend the amendment at this time but agreed to consider it again in the future along with other potential amendments.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-16-2019/	February 16, 2019	
54	motion (approved)	Long term capital expenditures	1. Birdland chairlift     1. Birdland chairlift work would be delayed to 2022 and changed from a replacement to a renovation, resulting in a $100K reduction in expenditures. 2. Watershed Protection     1. Watershed Protection was postponed from 2021 to 2022. 3. Callies Corner     1. Callie’s Corner lift work was downgraded from a magic carpet to a renovated handle tow, freeing up $20K which will be reallocated to the budget for the Basebox and Patrol Building projects.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-february-16-2019/	February 16, 2019	
55	resolution	Trustee Behavior	1. The Board RECOGNIZES that:     1. Trustees are to engage in exemplary behavior and adhere to the Trustees’ roles and responsibilities ad code of ethics;     2. Some trustees have acted inappropriately towards staff and at Mad River Glen events;     3. Examples of inappropriate behavior towards staff include: taking issue with how staff is doing its work, insulting staff, and other inappropriate behavior. 2. The Board RESOLVES, that:     1. Such behavior by Trustees cannot, and will not, be tolerated;     2. The Board shall send a letter of apology to staff;     3. The Board shall pursue further action with specific Trustees, as appropriate; and     4. The Board shall engage in further Board training.	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-march-16-2019/	March 16, 2019	
56	motion (approved)	Conceptual design for Basebox and Patrol Building	(Design not attached to minutes.)	https://www.madriverglen.com/meeting-item/board-of-trustees-meeting-minutes-april-13-2019/	April 13, 2019	
